channel_id,channel_title,channel_description,published_at,country,total_views,subscriber_count,video_count,processed_at,created_at,title,tier_category,uploads_playlist_id,last_checked_at
UC_BPD0TBnFtRExZOhIFEQYQ,BlaZe 92,,,LK,242758210,587000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,BlaZe 92,,UU_BPD0TBnFtRExZOhIFEQYQ,
UC_wCgvTythKNffDZ0IQNvYQ,Small Town Tech Solutions LLC,,,Unknown,3,0,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Small Town Tech Solutions LLC,,UU_wCgvTythKNffDZ0IQNvYQ,
UC-ss1l2vO46QAgyCsPRIVDA,NAVA SPEAKS,,,US,300197,1780,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,NAVA SPEAKS,,UU-ss1l2vO46QAgyCsPRIVDA,
UC0CXMeU0432EMgBnlBaY_yA,DP Education - ගණිතය,,,LK,116053159,925000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,DP Education - ගණිතය,,UU0CXMeU0432EMgBnlBaY_yA,
UC0PdkCm3QlHJ8HdH4JeNirA,YAKA MAN,,,LK,64771529,397000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,YAKA MAN,,UU0PdkCm3QlHJ8HdH4JeNirA,
UC1Q3UfVjchyhbtyJXc_mu5w,Channel C,,,LK,382043979,1280000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Channel C,,UU1Q3UfVjchyhbtyJXc_mu5w,
UC2Wq8OiU3P9sSRxHpFEe_0Q,ASHAN online,,,LK,24011683,390000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,ASHAN online,,UU2Wq8OiU3P9sSRxHpFEe_0Q,
UC3C6rQHX8pkjSyOm-620k3w,Marvel Tech,,,LK,26617994,1860000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Marvel Tech,,UU3C6rQHX8pkjSyOm-620k3w,
UC4UaWbUUwVvCxWNqhb4f16Q,Apé Amma,,,LK,629160331,3330000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Apé Amma,,UU4UaWbUUwVvCxWNqhb4f16Q,
UC5216enGX_-P4fTk9nPG9UQ,Trend Review Studio,,,LK,580530,5060,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Trend Review Studio,,UU5216enGX_-P4fTk9nPG9UQ,
UC6lDrxy3lS4LNRuuBtryqpQ,M.R kitchen,,,LK,406683045,2260000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,M.R kitchen,,UU6lDrxy3lS4LNRuuBtryqpQ,
UC7301rstHsGPohgeR_kh8Pw,ILV Arts,,,LK,21408,1150,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,ILV Arts,,UU7301rstHsGPohgeR_kh8Pw,
UC7hqTC-ChL-_PUKhctTt50A,Trip Pisso,,,LK,45435771,451000,0,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Trip Pisso,,UU7hqTC-ChL-_PUKhctTt50A,
