channel_id,channel_title,channel_description,published_at,country,total_views,subscriber_count,video_count,processed_at,created_at,title,tier_category,uploads_playlist_id,last_checked_at
UC_BPD0TBnFtRExZOhIFEQYQ,BlaZe 92," Welcome to BlaZe 92 – A channel for everything Grand Theft Auto, Red Dead Redemption and open-world gaming!

This channel is known for epic GTA evolutions, gameplay comparisons, and detailed guides on open world games! We explore the hidden features, graphics, physics, and Easter eggs in the GTA series—including GTA 5, GTA San Andreas, Vice City, GTA 3, GTA IV, and the highly anticipated GTA VI.

We create engaging GTA and RDR shorts, ""what happens if"" scenarios, game logic breakdowns, and detailed side-by-side graphics comparisons of top-rated open-world games. Whether it's GTA evolution, GTA mods, funny moments, or GTA comparisons, we’ve got it all covered.

🔔 Subscribe now for regular content on:

GTA Evolution videos,
GTA 6 features,
Open-world game comparisons,
GTA and RDR 2 shorts & viral GTA content!

Hope you enjoy the videos. Thanks for watching — and as always, happy gaming!
",2017-11-27T10:40:01Z,LK,242758210,587000,627,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,BlaZe 92,20.0,UU_BPD0TBnFtRExZOhIFEQYQ,
UC_wCgvTythKNffDZ0IQNvYQ,Small Town Tech Solutions LLC,,2026-05-23T22:18:50.065362Z,Unknown,3,0,3,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Small Town Tech Solutions LLC,28.0,UU_wCgvTythKNffDZ0IQNvYQ,
UC-ss1l2vO46QAgyCsPRIVDA,NAVA SPEAKS,"Welcome to Nava Speaks the official secondary channel of Nava Speaks. If anything, ever happens to my main channel, this is where we'll stay connected and share updates. Be sure to SUBSCRIBE HERE NOW so we never lose touch. Thanks for your support !!!",2021-10-21T22:50:08.020627Z,US,300197,1780,1293,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,NAVA SPEAKS,27.0,UU-ss1l2vO46QAgyCsPRIVDA,
UC0CXMeU0432EMgBnlBaY_yA,DP Education - ගණිතය,"About Us
Dhammika & Priscilla Foundation is a private charitable organization focused on providing free quality education and healthcare facilities for all. DP Education is the digital learning platform that delivers the Foundation's vision of equal access to world-class free digital learning and healthcare in accelerating human capability development that leads to poverty alleviation.
DP Education Sinhala medium YouTube channel has all subjects that are taught in Sinhala language. 

Vision
We provide equal access to world-class digital learning, and healthcare facilities to develop  human capability to eliminate poverty.

Mission
Dedicated to transform learning and teaching experiences through free online education, best-in-class teachers, and the development of education infrastructure.

Leadership 
The Foundation is led under the direction of the Founder & Chairman Mr. Dhammika Perera.


",2019-10-18T04:11:05.559491Z,LK,116053159,925000,3276,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,DP Education - ගණිතය,27.0,UU0CXMeU0432EMgBnlBaY_yA,
UC0PdkCm3QlHJ8HdH4JeNirA,YAKA MAN,"🇱🇰 No : 01 Mobile Game Play Channel ( Sinhala ) 🇱🇰 

Hello I'm YAKA-MAN 😉 I Play Mobile Games Mostly Play Horror Games But I'm Not Limited to Them. I Also Try Out Various Other Mobile Games.

❤️ COME AND WELCOME TO MY WORLD ❤️

Video Upload Time 
                
               ⏰Friday 4 pm ( SL Time )",2020-10-20T10:16:10.659763Z,LK,64771529,397000,376,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,YAKA MAN,20.0,UU0PdkCm3QlHJ8HdH4JeNirA,
UC1Q3UfVjchyhbtyJXc_mu5w,Channel C,"🌐 Channel C is always with the Artists and all Artists are with Channel C...Come join us…Be a part of Channel C...❤❤❤

Channel C deals with Cinema, Art, Style, Talents as well as Universal Music. It provides prodigious knowledge, solicits various measures to enhance talents, gives wide range of entertainment and information…creates uniqueness in everything that comes its way!

Therefore it is more than Music.. Channel C is Sri Lankan tradition of universal Music it is coloured with new new inventions while imbibing traditional touch, changes, new outlooks, reverberate while remaining Sri Lankan, Traditionally Sri Lankan!! You’ll visualize dazzling scenery embedded in new technology…all that you see it brilliantly wonderful and tantalizing!
Channel C is always with the Artists and all Artists are with Channel C.
Come join us… be a part of Channel C...❤❤❤

🔴 Channel C Sri Lanka's No 1 Youth Music Channel..

",2013-01-03T04:48:15Z,LK,382043979,1280000,7834,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Channel C,24.0,UU1Q3UfVjchyhbtyJXc_mu5w,
UC2Wq8OiU3P9sSRxHpFEe_0Q,ASHAN online,"Follow Our Day to Day Life Journey.
Thanks For Watching Us !
",2018-03-25T18:24:37Z,LK,24011683,390000,282,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,ASHAN online,22.0,UU2Wq8OiU3P9sSRxHpFEe_0Q,
UC3C6rQHX8pkjSyOm-620k3w,Marvel Tech,"Greetings! Welcome to the Marvel Tech channel. 

The primary focus of this channel is to provide information and insights into agricultural machinery, construction equipment, tools, cutting-edge technologies, innovative inventions, and notable projects. 

For any inquiries or questions, please feel free to contact us at marveltech78@gmail.com. We value your feedback and are committed to assisting you in any way we can.
",2021-01-15T18:40:02.524763Z,LK,26617994,1860000,415,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Marvel Tech,28.0,UU3C6rQHX8pkjSyOm-620k3w,
UC4UaWbUUwVvCxWNqhb4f16Q,Apé Amma,"3.3 Million subscribers and 620 million people watched and learned Sri lankan cooking. I'm a 67 years old 'first class' trained graduate Home science teacher, I started this channel to share Sri lankan & International healthy & tasty recipes, using the experience gained throughout my life being a teacher. I'll be sharing not only Sri Lankan recipes but also other recipes that are close to Sri Lankan's taste buds, and about medicinal ayurvedic plants that cure many non communicable diseases. Thank you! Ape Amma
සබ්ස්ක්‍රයිබර්ස් මිලියන 3.3යි. මිලියන 620ක් නරඹා උයන්න ඉගෙන ගත් චැනලය. ශ්‍රී ලංකා රජයේ ගුරු සේවය(ɪ) ගුරුවරියක් වන මා පාසලේ පන්ති කාමරයෙන් ඔබ්බට ගොස් අන්තර්ජාලය ඔස්සේ ඔබේ නිවසට පැමිනෙණ්නේ මගේ ගුරු ජීවිතයේ වගේම ළමා කාලයේ සිට මෙතෙක් මා ලැබු අත්දැකීම්, දැනුම, ආකල්ප කුසලතා ඹබ සමග බෙදා ගන්නයි. 'ශ්‍රී ලංකිකයන්ගේ දිවට හුරු' වෙනත් රටවල් වල ආහාරත්, ආයුර්වේද ඖෂධ සහ පැලෑටි ගැනත් මෙම චැනල් එකෙන් කියලා දෙනවා.මම හිතනවා ශ්‍රී ලාංකිකයන්ට මගේ චැනල් එක අලුත් අත්දැකීමක් වෙයි කියලා.ස්තුතියි!
",2016-04-15T18:11:33Z,LK,629160331,3330000,2796,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Apé Amma,22.0,UU4UaWbUUwVvCxWNqhb4f16Q,
UC5216enGX_-P4fTk9nPG9UQ,Trend Review Studio,"Fashion Trend Review Studio! We strive to focus on luxury lifestyle and high-fashion trends.

Ever wondered about the hidden marketing tricks behind high-fashion dresses? Or how to select the perfect luxury dress for weddings, exclusive parties, and outdoor events? We cover it! Through our unique fashion review commentary and studio podcasts, we dive deep into the economics of style and the aesthetics of designer runway looks.

Explore with us:
• The Hidden Marketing Tricks of High-Fashion Dresses: Understanding the business behind the beauty.
• Styling Tips & Tricks: How to select the top dresses for any occasion (indoor, outdoor, weddings, and parties).
• Visual Style Analysis: High-fashion shoot commentary and modern trend reviews.
• The Luxury Lifestyle: Insights from your dedicated fashion and lifestyle explorers on YT.

Whether you are a style enthusiast looking for the latest dressing tips or someone curious about the business of luxury apparel, you will find real value here.
",2017-02-02T08:21:57Z,LK,580530,5060,1,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,Trend Review Studio,25.0,UU5216enGX_-P4fTk9nPG9UQ,
UC6lDrxy3lS4LNRuuBtryqpQ,M.R kitchen,"Hi,
Im Madu Rajapaksha. This is my effort to bring you the method of delicious food in an easy way with less time and I make local food without artificial flavors.",2019-08-23T18:31:03Z,LK,406683045,2260000,872,2026-07-25 18:31:37.305947+00,2026-07-25 18:31:37.305947+00,M.R kitchen,22.0,UU6lDrxy3lS4LNRuuBtryqpQ,
