video_id,channel_id,category_id
__bNR-H9kQg,UCfK5mYo5nvU4d4vkguhSn6Q,10
_-6M7GwI6yk,UCckltLEhFLv8Xz_lQhYfwmg,25
_-cNKYTtz8k,UCiOEgWwAKbfrVb795hqQc9A,24
_-e_b8m1qf8,UC3C6rQHX8pkjSyOm-620k3w,28
_-JP26pZNow,UC1Q3UfVjchyhbtyJXc_mu5w,24
_-jwaxIVDGI,UCDO8zlJiV9ZgaMMK2DyX1Dw,17
_0FtoMcWx3k,UCt7aYc76HmITvYbbQlHyFnw,27
_10bZYYhFMw,UCckltLEhFLv8Xz_lQhYfwmg,25
_1GDQPyKMF0,UC4UaWbUUwVvCxWNqhb4f16Q,22
_1qSLJft0HI,UCrjQG1gLZ4cDwIzrGA5pRBw,22
_25tPpxABRs,UCCK3OZi788Ok44K97WAhLKQ,25
_2M7TP7tBoI,UCs_mHlm5_C82W5WCIJaSMbQ,22
_4qxm28_IV4,UCEUSUxrhCt4n0Pp9WB7q7-w,24
_5F5zx2aay0,UCCK3OZi788Ok44K97WAhLKQ,25
_6I0kSk0QJE,UCmqflTSJ6911aCrnaWIXxsA,24
_6TgggWAodo,UCGkzF25IZBE1SF9ykM64xEA,24
_6X9dviBFsc,UCn0XmAUFv6d2tofMFEesSNw,24
_90kpV80iOE,UCcpCelkp30ukU3ZKUXsU25g,24
_9NVugHJBwg,UC0PdkCm3QlHJ8HdH4JeNirA,20
_9TCc5wkXig,UCEUSUxrhCt4n0Pp9WB7q7-w,24
_aBvor8Ca5o,UCU5WmQA3Ur1Yriw5pMqoBNQ,24
_adXl4NXv_s,UCEoihco2ah097z2YwYOtojw,20
_ahxk2ek6hA,UCaRBojHlDl24Tzh6Vt6dihQ,20
_axDEsu5vd0,UCgnFSj7jQffD5V5m05j4dPw,22
_Bk91pWn8bE,UCKS1HX4moHCcDBZnM9k4giw,1
_bmjSnhGqiQ,UCs_mHlm5_C82W5WCIJaSMbQ,22
_BOA6iv4LUY,UCcpCelkp30ukU3ZKUXsU25g,24
_bwN6GqfcD4,UCn0XmAUFv6d2tofMFEesSNw,24
_C7KUG_af8M,UCckltLEhFLv8Xz_lQhYfwmg,25
_CgfSldEya4,UCCK3OZi788Ok44K97WAhLKQ,25
_CwKUryqfb8,UCn0XmAUFv6d2tofMFEesSNw,24
_DnSJtKk2QY,UC8irIP66QzlZNVgqe4vwN9g,10
_ds6ZULAcCU,UCRnC_XIuIVFKWphUcLd4MVA,27
_dtEa0b0Eu8,UCgnFSj7jQffD5V5m05j4dPw,22
_dWLBtnarkE,UCmqflTSJ6911aCrnaWIXxsA,24
_e4VZET6IgY,UCckltLEhFLv8Xz_lQhYfwmg,25
_ehYeQ18Y3g,UCckltLEhFLv8Xz_lQhYfwmg,25
_Ei-drvTkEQ,UCgnFSj7jQffD5V5m05j4dPw,22
_eRUvSDDJ-8,UCTb1H9XUOHjqA9hVvxCht0w,25
_EWGA9g4MSs,UCckltLEhFLv8Xz_lQhYfwmg,25
_flobDfrfZ4,UCfK5mYo5nvU4d4vkguhSn6Q,24
_fW7aHaBYXQ,UCn0XmAUFv6d2tofMFEesSNw,24
_FWS9vPXbQI,UCdTL_n9uC2_DlLX7ohcKpVQ,24
_FWtjvCVTbs,UCe13xXtdfx_n0_z1qeXV6_g,10
_gaf36Whnvw,UCCK3OZi788Ok44K97WAhLKQ,25
_GCE0pzn3Qw,UCJsN1Mmx4GRA6sCYdfKqpSQ,28
_gFd6jNzfYU,UCjK3LREYZUrNKnk56Prhe4w,29
_GqwnPsJW6k,UCd3VsafChPVXeIufCAzCprA,27
_H1u91NJ3T8,UCAapm4DhqB5ckqr61IGdTUw,24
_HLK_7iqLDM,UCCK3OZi788Ok44K97WAhLKQ,25
_hls7eM02j0,UC3C6rQHX8pkjSyOm-620k3w,28
_hNbucZgSKE,UCEa6e_J_Xs_GKCzG8Eq15Xw,10
_IeI6Tg8D58,UCckltLEhFLv8Xz_lQhYfwmg,25
_IMVeMF_o6g,UCGkzF25IZBE1SF9ykM64xEA,24
_ItKG9eeuoo,UCCK3OZi788Ok44K97WAhLKQ,25
_IVrXseJoFQ,UCuc40qp1ZKB_ZbDw9iml8Kg,22
_JmwqxGGQlo,UCnY7v189bwoSTFFYD_PNWhQ,27
_K9XJzgNyls,UCt7aYc76HmITvYbbQlHyFnw,27
_K9ZwY6LNCI,UC-ss1l2vO46QAgyCsPRIVDA,27
_kaGY8winaA,UCCK3OZi788Ok44K97WAhLKQ,25
_kH-z5KcfgA,UCn0XmAUFv6d2tofMFEesSNw,24
_KiWc-7WdnY,UCckltLEhFLv8Xz_lQhYfwmg,25
_kzTXAqHMP0,UCckltLEhFLv8Xz_lQhYfwmg,25
_L0K4uZv6ik,UCt7aYc76HmITvYbbQlHyFnw,27
_lR4zDV98pY,UCEAjJ7_uNZDGzmFQiSFIQ7A,22
_MA9E-3Gty4,UCm-TY_JakK4dHAwF6QqcZSg,20
_MHe8eoxfxc,UCu7cGbQEMgGk8TD0ZYucM5g,27
_MNgt87CFs4,UCWqN5l7FwMO6-gT8Dg9mx5A,22
_MP-o1niA6U,UCCK3OZi788Ok44K97WAhLKQ,25
_N4BUjv73_Q,UCu_V8lfzyGspxP-LNFowW9w,10
_oIQnNxM2tg,UCCK3OZi788Ok44K97WAhLKQ,25
_OpttsZOI4I,UCckltLEhFLv8Xz_lQhYfwmg,25
_Pc5vdtWT5o,UCNyujDJFZqQml78mdpb2rNA,24
_PHeqdLL2pQ,UCKS1HX4moHCcDBZnM9k4giw,1
_pJbu-k1kHU,UCCK3OZi788Ok44K97WAhLKQ,25
_pKj4QmkkPw,UC1Q3UfVjchyhbtyJXc_mu5w,24
_QCQZVBnkzo,UCckltLEhFLv8Xz_lQhYfwmg,25
_QWgWpKp6iw,UCNFDDKoTezuSWbIjjHA76xQ,22
_r7hXpjpAxo,UCcpCelkp30ukU3ZKUXsU25g,24
_RjIm6w3mJw,UCltN1illHSguno1gokRShxA,26
_rQEgbBJUYQ,UCEa6e_J_Xs_GKCzG8Eq15Xw,10
_s2KuezQCVU,UCF5efTIgHxLMduJeMLdbbUw,10
_sIMdcYuBSA,UCdY0SS4tZPdWdQ6m5bX-ZBg,24
_SVBfRiyRB0,UCk6Bzr5M-8n_KN2guSmWmMw,22
_TO5albBfQo,UCn0XmAUFv6d2tofMFEesSNw,24
_TTez3iCWHg,UCRnC_XIuIVFKWphUcLd4MVA,27
_twjcXfzTvk,UCgnFSj7jQffD5V5m05j4dPw,22
_U-Y9AFdJqg,UC-ss1l2vO46QAgyCsPRIVDA,27
_u5gdF0ABGA,UC1Q3UfVjchyhbtyJXc_mu5w,24
_uATqk-FE68,UCKA7SQOUkD1_z5lr016Q70w,22
_VioQ1XuAbE,UCR0Bia1mQ7NQp31WWNhoFnw,22
_vNvSSHqMus,UCckltLEhFLv8Xz_lQhYfwmg,25
_VzI_CkoYl4,UCVmkgq5EQR_Dls3LG-wkrjw,28
_WFIUXFBtCo,UC9ZdXR-RYydFqdIb1lqM4LQ,19
_wGA936mhPM,UCKEKf35apTUvSLs-c1DCekw,27
_WLWTHfS6LI,UC9ZdXR-RYydFqdIb1lqM4LQ,19
_WYVZ10BafU,UCr8qGT-Mv9tdCo-aPr06REQ,1
_X0x3AVcyQg,UC0PdkCm3QlHJ8HdH4JeNirA,20
_xAXKa5JxCk,UCEuz_HGv5er0LZsztjO4g5Q,24
_XgbLLxu13k,UCJsN1Mmx4GRA6sCYdfKqpSQ,10
_xh_HMQWhZ8,UCgnFSj7jQffD5V5m05j4dPw,22
_YkGT_UsW3Q,UCaRBojHlDl24Tzh6Vt6dihQ,20
_yvyzOcqGrE,UCwKYO2L9xzLtWhSv4ncYCIA,2
_zDaFoRY66g,UCEoihco2ah097z2YwYOtojw,20
_zG5P0I2wgs,UCgnFSj7jQffD5V5m05j4dPw,22
_zT5SB6g3-0,UCfK5mYo5nvU4d4vkguhSn6Q,24
_zX5rOK_vOU,UCckltLEhFLv8Xz_lQhYfwmg,25
--UQEH1GnDo,UCckltLEhFLv8Xz_lQhYfwmg,25
-0CyK-PVcuU,UCCK3OZi788Ok44K97WAhLKQ,25
-0L9CeaQyFs,UCNyujDJFZqQml78mdpb2rNA,24
-15pnrWAfZo,UCckltLEhFLv8Xz_lQhYfwmg,25
-1E38bpTy2U,UCwXfRdTtVeVnXXF4poaYw0Q,19
-1tpcHIlEtc,UCOQAZV0vURpWMKTlAGVy8rQ,10
-1utnBm8MGM,UCYFn7BOOlmL21iNJ6q5IDfg,24
-2fhIAkUW1Y,UCQxq1x6XKl1oRJ_aSOdurWQ,10
-2VMsMUl1EA,UCcpCelkp30ukU3ZKUXsU25g,24
-38dhvP4peU,UCrjQG1gLZ4cDwIzrGA5pRBw,22
-4LWIZhgD0I,UCETxOvOv9_44-CUzsPlzyxQ,28
-6jbI3ZdpfA,UCe13xXtdfx_n0_z1qeXV6_g,10
-6LBa_SXtlM,UCglXlpWjIi95auM3umWWLdw,28
-6veTJk0Y5I,UCCK3OZi788Ok44K97WAhLKQ,25
-6xBJ7YE8Eo,UCKS1HX4moHCcDBZnM9k4giw,1
-7CewFDYxR8,UCckltLEhFLv8Xz_lQhYfwmg,25
-7yk8ij0vEE,UC0CXMeU0432EMgBnlBaY_yA,27
-8qZRAUdB78,UCEUSUxrhCt4n0Pp9WB7q7-w,24
-8yjRlzoniY,UCckltLEhFLv8Xz_lQhYfwmg,25
-9heRLrZJaY,UCjK3LREYZUrNKnk56Prhe4w,29
-a40n4mAyy0,UCCK3OZi788Ok44K97WAhLKQ,25
-a6UjOeYIqs,UCDm4BW0Q5d-zASSuRyvPGXw,22
-AM6U5xUyhs,UCCK3OZi788Ok44K97WAhLKQ,25
-amoMwWHl7g,UCVmkgq5EQR_Dls3LG-wkrjw,28
-AoNld8z7JI,UCgnFSj7jQffD5V5m05j4dPw,22
-b_wbYkvhTg,UCCK3OZi788Ok44K97WAhLKQ,25
-BgO8z7EAFY,UCEUSUxrhCt4n0Pp9WB7q7-w,24
-bPKrbkqD3c,UC6lDrxy3lS4LNRuuBtryqpQ,22
-BwMuXyuK1w,UCrjQG1gLZ4cDwIzrGA5pRBw,22
-cgAqbxxF7U,UCmqflTSJ6911aCrnaWIXxsA,24
-cp8BrHzm3g,UCCK3OZi788Ok44K97WAhLKQ,25
-ct-fuc4F0o,UC7301rstHsGPohgeR_kh8Pw,26
-CWf9ozr4J0,UCGkzF25IZBE1SF9ykM64xEA,24
-CxZk_gQgRI,UCcpCelkp30ukU3ZKUXsU25g,24
-d_Bz559dEo,UCRnC_XIuIVFKWphUcLd4MVA,27
-Du8XAhBRt0,UCckltLEhFLv8Xz_lQhYfwmg,25
-E4WbWmBh1Y,UCVmkgq5EQR_Dls3LG-wkrjw,28
-eaHx2NT95I,UCckltLEhFLv8Xz_lQhYfwmg,25
-F3w7_BjhvA,UCRtAu8OVYVfuNZmTV-Ug0zA,27
-ffnFYx6zSM,UCCK3OZi788Ok44K97WAhLKQ,25
-FPNOmIO3pU,UC4UaWbUUwVvCxWNqhb4f16Q,22
-gr5OJACVoE,UCR0Bia1mQ7NQp31WWNhoFnw,22
-h0FODn-ol4,UCckltLEhFLv8Xz_lQhYfwmg,25
