channel_id,channel_title,country,subscriber_count,total_views,uploads_playlist_id
UCfK5mYo5nvU4d4vkguhSn6Q,ak production,NP,65300,7681201,UUfK5mYo5nvU4d4vkguhSn6Q
UC3C6rQHX8pkjSyOm-620k3w,Marvel Tech,LK,1860000,26617994,UU3C6rQHX8pkjSyOm-620k3w
UCDO8zlJiV9ZgaMMK2DyX1Dw,BILLA LITE,LK,181000,11649029,UUDO8zlJiV9ZgaMMK2DyX1Dw
UCt7aYc76HmITvYbbQlHyFnw,Go English Way,LK,976,14709,UUt7aYc76HmITvYbbQlHyFnw
UC4UaWbUUwVvCxWNqhb4f16Q,Apé Amma,LK,3330000,629160331,UU4UaWbUUwVvCxWNqhb4f16Q
UCckltLEhFLv8Xz_lQhYfwmg,Hiru News,LK,3770000,2732879038,UUckltLEhFLv8Xz_lQhYfwmg
UCr8qGT-Mv9tdCo-aPr06REQ,G Plus Animation,US,690000,460203250,UUr8qGT-Mv9tdCo-aPr06REQ
UCEUSUxrhCt4n0Pp9WB7q7-w,SLTMobitel,LK,1460000,91725204,UUEUSUxrhCt4n0Pp9WB7q7-w
UCU5WmQA3Ur1Yriw5pMqoBNQ,FactsVibe,LK,1230000,92957635,UUU5WmQA3Ur1Yriw5pMqoBNQ
UCGkzF25IZBE1SF9ykM64xEA,Vini Productions - විනී,LK,3890000,631147309,UUGkzF25IZBE1SF9ykM64xEA
UCcpCelkp30ukU3ZKUXsU25g,Music Bar,LK,170000,22569292,UUcpCelkp30ukU3ZKUXsU25g
UCKS1HX4moHCcDBZnM9k4giw,Booba – Cartoon for Kids,US,6110000,3650788990,UUKS1HX4moHCcDBZnM9k4giw
UC0PdkCm3QlHJ8HdH4JeNirA,YAKA MAN,LK,397000,64771529,UU0PdkCm3QlHJ8HdH4JeNirA
UCEoihco2ah097z2YwYOtojw,Tiny Bunny,KR,70800,47649950,UUEoihco2ah097z2YwYOtojw
UCmqflTSJ6911aCrnaWIXxsA,The Voice Sri Lanka ,LK,2380000,784713815,UUmqflTSJ6911aCrnaWIXxsA
UC8irIP66QzlZNVgqe4vwN9g,MADU MEE,LK,1910000,1698879792,UU8irIP66QzlZNVgqe4vwN9g
UCTb1H9XUOHjqA9hVvxCht0w,WORLD LIBRARY | ලෝක පුස්තකාලය,LK,1260,7030,UUTb1H9XUOHjqA9hVvxCht0w
UCs_mHlm5_C82W5WCIJaSMbQ,Vishwakarma | විශ්වකර්ම,LK,1710000,266224825,UUs_mHlm5_C82W5WCIJaSMbQ
UCdTL_n9uC2_DlLX7ohcKpVQ,MrShan Vlog ,LK,5960,1274648,UUdTL_n9uC2_DlLX7ohcKpVQ
UCe13xXtdfx_n0_z1qeXV6_g,M Entertainments,LK,1250000,667525026,UUe13xXtdfx_n0_z1qeXV6_g
UCd3VsafChPVXeIufCAzCprA,Art with Shyami,LK,3580,163209,UUd3VsafChPVXeIufCAzCprA
UCDm4BW0Q5d-zASSuRyvPGXw,Wishma Lokaya,LK,2780000,388322453,UUDm4BW0Q5d-zASSuRyvPGXw
UCAapm4DhqB5ckqr61IGdTUw,Red-sensei ,LK,91200,264451,UUAapm4DhqB5ckqr61IGdTUw
UCEa6e_J_Xs_GKCzG8Eq15Xw,SGM Tunes,LK,1580000,565037015,UUEa6e_J_Xs_GKCzG8Eq15Xw
UCuc40qp1ZKB_ZbDw9iml8Kg,Imsachin,LK,2890000,1628294566,UUuc40qp1ZKB_ZbDw9iml8Kg
UCnY7v189bwoSTFFYD_PNWhQ,Channel NIE - தமிழ்,LK,102000,8157815,UUnY7v189bwoSTFFYD_PNWhQ
UCCK3OZi788Ok44K97WAhLKQ,Ada Derana,LK,3870000,2598425904,UUCK3OZi788Ok44K97WAhLKQ
UCEAjJ7_uNZDGzmFQiSFIQ7A,ජන පදය ,LK,957,12,UUEAjJ7_uNZDGzmFQiSFIQ7A
UCm-TY_JakK4dHAwF6QqcZSg,Artzy,Unknown,122000,14609363,UUm-TY_JakK4dHAwF6QqcZSg
UCn0XmAUFv6d2tofMFEesSNw,Sirasa TV,LK,4220000,3465110572,UUn0XmAUFv6d2tofMFEesSNw
UCu7cGbQEMgGk8TD0ZYucM5g,Shraddha TV,LK,1190000,215483915,UUu7cGbQEMgGk8TD0ZYucM5g
UCWqN5l7FwMO6-gT8Dg9mx5A,Azeem Mohammed,Unknown,116,29192,UUWqN5l7FwMO6-gT8Dg9mx5A
UCu_V8lfzyGspxP-LNFowW9w,eTunes,LK,1200000,558784478,UUu_V8lfzyGspxP-LNFowW9w
UCrjQG1gLZ4cDwIzrGA5pRBw,YouSee ,LK,10200,3940302,UUrjQG1gLZ4cDwIzrGA5pRBw
UCNyujDJFZqQml78mdpb2rNA,සරු කෙත,LK,2700,201278,UUNyujDJFZqQml78mdpb2rNA
UCgnFSj7jQffD5V5m05j4dPw,Newsfirst Sri Lanka,LK,3150000,1798011382,UUgnFSj7jQffD5V5m05j4dPw
UCNFDDKoTezuSWbIjjHA76xQ,TR Creativity,LK,1320000,751491366,UUNFDDKoTezuSWbIjjHA76xQ
UCRnC_XIuIVFKWphUcLd4MVA,MIND YOUR MIND,Unknown,1720,167477,UURnC_XIuIVFKWphUcLd4MVA
UCltN1illHSguno1gokRShxA,Leo’s Playtime,US,184000,121714437,UUltN1illHSguno1gokRShxA
UCF5efTIgHxLMduJeMLdbbUw,Kithursan Official,LK,1260,23,UUF5efTIgHxLMduJeMLdbbUw
UCdY0SS4tZPdWdQ6m5bX-ZBg,TRAVEL with RANDIKA,LK,1380,65396,UUdY0SS4tZPdWdQ6m5bX-ZBg
UCk6Bzr5M-8n_KN2guSmWmMw,siri vidasuna,LK,512,5508,UUk6Bzr5M-8n_KN2guSmWmMw
UC-ss1l2vO46QAgyCsPRIVDA,NAVA SPEAKS,US,1780,300197,UU-ss1l2vO46QAgyCsPRIVDA
UCKA7SQOUkD1_z5lr016Q70w,Wild Cookbook,LK,11000000,5130261361,UUKA7SQOUkD1_z5lr016Q70w
UCR0Bia1mQ7NQp31WWNhoFnw,Sri Lankan Countryball productions,GB,16300,3495412,UUR0Bia1mQ7NQp31WWNhoFnw
UCVmkgq5EQR_Dls3LG-wkrjw,GoThru 360 - Virtual Tours & Google Street View,CA,4030,428457,UUVmkgq5EQR_Dls3LG-wkrjw
UC9ZdXR-RYydFqdIb1lqM4LQ,Travel to Travel Sri Lanka,LK,4570,423726,UU9ZdXR-RYydFqdIb1lqM4LQ
UCJsN1Mmx4GRA6sCYdfKqpSQ,Sandaru Sathsara,LK,1950000,215812564,UUJsN1Mmx4GRA6sCYdfKqpSQ
UCwKYO2L9xzLtWhSv4ncYCIA,Nilame,LK,1750000,171198009,UUwKYO2L9xzLtWhSv4ncYCIA
UCwXfRdTtVeVnXXF4poaYw0Q,Travel With Chatura,LK,432000,44885200,UUwXfRdTtVeVnXXF4poaYw0Q
UCOQAZV0vURpWMKTlAGVy8rQ,Music Channel - Sutha Win Music Rasanai,LK,1150,100989,UUOQAZV0vURpWMKTlAGVy8rQ
UCYFn7BOOlmL21iNJ6q5IDfg,Lochi,LK,2180000,732919283,UUYFn7BOOlmL21iNJ6q5IDfg
UCQxq1x6XKl1oRJ_aSOdurWQ,Shanthini Singer,LK,11100,1694095,UUQxq1x6XKl1oRJ_aSOdurWQ
UCETxOvOv9_44-CUzsPlzyxQ,Chanux Bro,Unknown,2190000,224455707,UUETxOvOv9_44-CUzsPlzyxQ
UCglXlpWjIi95auM3umWWLdw,Tech Master,IN,32400000,20261313932,UUglXlpWjIi95auM3umWWLdw
UC0CXMeU0432EMgBnlBaY_yA,DP Education - ගණිතය,LK,925000,116053159,UU0CXMeU0432EMgBnlBaY_yA
UC6lDrxy3lS4LNRuuBtryqpQ,M.R kitchen,LK,2260000,406683045,UU6lDrxy3lS4LNRuuBtryqpQ
UC7301rstHsGPohgeR_kh8Pw,ILV Arts,LK,1150,21408,UU7301rstHsGPohgeR_kh8Pw
UCRtAu8OVYVfuNZmTV-Ug0zA,Buddhism,LK,2940000,247206736,UURtAu8OVYVfuNZmTV-Ug0zA
UCwkHQPpM4IvsJZiIwW9_8Ng,RVA Sinhala,LK,5150,610739,UUwkHQPpM4IvsJZiIwW9_8Ng
UCMQYRNX1Fg-HJ8Ey7Z3WPrA,"Wasthi Productions ""වස්ති""",LK,2130000,282961325,UUMQYRNX1Fg-HJ8Ey7Z3WPrA
UCaRBojHlDl24Tzh6Vt6dihQ,Malix Bro,LK,10300,1939459,UUaRBojHlDl24Tzh6Vt6dihQ
UCh9qXeL8eP3Txra2908xksg,Yohani,LK,4050000,886763901,UUh9qXeL8eP3Txra2908xksg
UCFPySgAumPBFo0VFf8hjCjw,Lahiru Dikkumbura,US,103000,23928264,UUFPySgAumPBFo0VFf8hjCjw
UCc8W1zUTmtNqXIhOHxPIAuw,Akalanka Ekanayake,LK,1920000,2038760,UUc8W1zUTmtNqXIhOHxPIAuw
UC2Wq8OiU3P9sSRxHpFEe_0Q,ASHAN online,LK,390000,24011683,UU2Wq8OiU3P9sSRxHpFEe_0Q
UC7hqTC-ChL-_PUKhctTt50A,Trip Pisso,LK,451000,45435771,UU7hqTC-ChL-_PUKhctTt50A
UC_BPD0TBnFtRExZOhIFEQYQ,BlaZe 92,LK,587000,242758210,UU_BPD0TBnFtRExZOhIFEQYQ
UCEjCyBoWP57QRkmFRz-aOGw,WOW ENGLISH,GB,1110000,398771489,UUEjCyBoWP57QRkmFRz-aOGw
UCjK3LREYZUrNKnk56Prhe4w,Waharaka Thera Waruna  ,LK,2320,256443,UUjK3LREYZUrNKnk56Prhe4w
UCBR9iW2qo_7LP9_9u3A2ZeQ,Gaming Sadu,LK,360000,24908424,UUBR9iW2qo_7LP9_9u3A2ZeQ
UC1Q3UfVjchyhbtyJXc_mu5w,Channel C,LK,1280000,382043979,UU1Q3UfVjchyhbtyJXc_mu5w
UCYG2PZN2DImFqoTcj983iqA,ThisumTheNerd,LK,1320,459876,UUYG2PZN2DImFqoTcj983iqA
UCDdPJHmxHCJLH1sDyytCATw,Chef RV Manabat,Unknown,2310000,419928624,UUDdPJHmxHCJLH1sDyytCATw
UCvQoK_VN52NG9CwB7Tc9WZg,Maths Lesy,LK,1040,14219,UUvQoK_VN52NG9CwB7Tc9WZg
UCnirzf0fEAPfQV__61iwSQQ,Eclipse,Unknown,328000,144490659,UUnirzf0fEAPfQV__61iwSQQ
UCEuz_HGv5er0LZsztjO4g5Q,Buddhist Path - දෙලොවම සුවපත්වන බුදු බණ,LK,1210000,1348,UUEuz_HGv5er0LZsztjO4g5Q
UCkysZsPin4y9iQHS-QYygeQ,Around The Clock,US,104000,42201666,UUkysZsPin4y9iQHS-QYygeQ
UCMeObxIFpmRVL22ZpL4ME9g,Shifa Media,Unknown,6650,1166079,UUMeObxIFpmRVL22ZpL4ME9g
UCVwbUjoiTUXxeVjsxW9Kwng,Desawana Music,LK,1670000,492273624,UUVwbUjoiTUXxeVjsxW9Kwng
UCHQfFg_epoUK0htwmiUyzEQ,English Sinhalen Online,LK,627000,36688379,UUHQfFg_epoUK0htwmiUyzEQ
UCGN3TM5lZQ1DAvMwI1LIc8Q,Nodutu Lokaya - නොදුටු ලෝකය ,LK,1230000,124738570,UUGN3TM5lZQ1DAvMwI1LIc8Q
UCOLdaAcrdzYY3ug15EuuFAg,The Rustic Kitchen & Tranquil Village,LK,2160000,848413293,UUOLdaAcrdzYY3ug15EuuFAg
UCEmrzEYds6XN_7dd_5_XnrA,SSundee Best Moments,LK,680000,551606742,UUEmrzEYds6XN_7dd_5_XnrA
UC9U2IYFVPd-Hl6zAeZQL7eQ,DH TECH SHOW,LK,590,3938,UU9U2IYFVPd-Hl6zAeZQL7eQ
UCcrktZCp1tY9eDqrk6fMrsA,Riddle Quiz 804,PK,37800,6650947,UUcrktZCp1tY9eDqrk6fMrsA
UCKEKf35apTUvSLs-c1DCekw,English with Sakvithi,LK,999000,41664500,UUKEKf35apTUvSLs-c1DCekw
UCR5y9OV23c0jJ4RGwDvGnLw,Science With Ruchira,LK,682000,45141939,UUR5y9OV23c0jJ4RGwDvGnLw
